ReleaseY	RecaptureY	Yearclass	Nscan	R	r	Type
2011	2012	2010	15855111.37	119.5714286	0	2
2011	2012	2009	12934644.08	2588.843255	1.443062201	2
2011	2012	2008	31718928.69	5407.868423	4.165550239	2
2011	2012	2007	42781110.65	1985.660159	2.874107205	2
2011	2012	2006	56313857.83	3169.870268	5.705518242	2
2011	2012	2005	34938696.37	1701.573325	3.096907717	2
2011	2012	2004	16167773.67	1297.385217	2.725296079	2
2011	2012	2003	9117361.357	825.136275	2.052774327	2
2011	2012	2002	4775103.69	768.3456177	2.481228433	2
2011	2012	2001	852639.6426	326.2857143	0.787619048	2
2011	2012	2000	867542.3801	202.1428571	0.373650794	2
2011	2012	1999	903557.6976	51.36507937	0.071428571	2
2011	2012	1998	710265.4169	85.36507937	0.151428571	2
2011	2012	1997	44597.38582	94.36507937	0.071428571	2
2011	2012	1996	0	21.22222222	0	2
2011	2013	2010	70936046.56	119.5714286	0	2
2011	2013	2009	26120124.44	2588.843255	2.091915102	2
2011	2013	2008	44182025.91	5407.868423	4.539774261	2
2011	2013	2007	46703458.49	1985.660159	2.747750343	2
2011	2013	2006	41947842.36	3169.870268	5.620239829	2
2011	2013	2005	30100835.3	1701.573325	2.585174035	2
2011	2013	2004	11841705.91	1297.385217	3.199956644	2
2011	2013	2003	3806937.616	825.136275	1.372401656	2
2011	2013	2002	1215548.527	768.3456177	0.944375431	2
2011	2013	2001	615895.4851	326.2857143	0.596190476	2
2011	2013	2000	371851.3169	202.1428571	0.262222222	2
2011	2013	1999	0	51.36507937	0	2
2011	2013	1998	0	85.36507937	0.04	2
2011	2013	1997	0	94.36507937	0	2
2011	2013	1996	0	21.22222222	0	2
2011	2014	2010	138000514.7	119.5714286	0.142857143	2
2011	2014	2009	59164994.55	2588.843255	3.587650946	2
2011	2014	2008	82580465.94	5407.868423	7.108726361	2
2011	2014	2007	76320661.64	1985.660159	3.398269884	2
2011	2014	2006	66514718.57	3169.870268	5.183389056	2
2011	2014	2005	27892899.9	1701.573325	3.010803441	2
2011	2014	2004	9253130.299	1297.385217	2.090094059	2
2011	2014	2003	4868527.11	825.136275	0.833488613	2
2011	2014	2002	1852246.859	768.3456177	0.501863354	2
2011	2014	2001	498049.0362	326.2857143	0.142857143	2
2011	2014	2000	203584.8686	202.1428571	0	2
2011	2014	1999	0	51.36507937	0	2
2011	2014	1998	0	85.36507937	0	2
2011	2014	1997	0	94.36507937	0	2
2011	2014	1996	0	21.22222222	0	2
2011	2015	2010	149031882.5	119.5714286	0	2
2011	2015	2009	81409212.06	2588.843255	4.035504846	2
2011	2015	2008	98679777.31	5407.868423	6.892945651	2
2011	2015	2007	91144360.14	1985.660159	2.795382802	2
2011	2015	2006	51292708.93	3169.870268	3.850789028	2
2011	2015	2005	28527673.92	1701.573325	2.203467958	2
2011	2015	2004	9132120.698	1297.385217	1.425802055	2
2011	2015	2003	5222874.04	825.136275	0.861532091	2
2011	2015	2002	1286342.038	768.3456177	0.591718427	2
2011	2015	2001	117520.1342	326.2857143	0.262857143	2
2011	2015	2000	60868.47326	202.1428571	0.04	2
2011	2015	1999	60868.47326	51.36507937	0	2
2011	2015	1998	0	85.36507937	0.04	2
2011	2015	1997	0	94.36507937	0	2
2011	2015	1996	0	21.22222222	0	2
2011	2016	2010	133610541.4	119.5714286	0	2
2011	2016	2009	59664663.19	2588.843255	2.251085756	2
2011	2016	2008	67027590.8	5407.868423	4.592086861	2
2011	2016	2007	52918965.32	1985.660159	1.77433137	2
2011	2016	2006	44488120.45	3169.870268	2.551836979	2
2011	2016	2005	18055939.19	1701.573325	1.535597896	2
